,player,Age,Tm,G,MP,WS,GS,MP.1,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,paint_rebounding,id,3catch_and_shoot,pullupshoot
0,Aaron Brooks,32,IND,65,13.8,0.3,0,894,9.5,0.427,0.133,2.3,6.3,4.3,20.7,1.4,0.9,17.2,19.2,98,113,-0.2,0.5,0.016,-2.1,-2.6,-4.6,-0.6,0.2145,201166,0.09126,0.89775
1,Aaron Gordon,21,ORL,80,28.7,3.7,72,2298,14.4,0.309,0.251,5.3,14.1,9.6,10.5,1.4,1.4,8.5,20.1,107,111,2.0,1.7,0.076,-0.2,-0.4,-0.7,0.8,0.151018,203932,0.1628,1.05141
2,Al Horford,30,BOS,68,32.3,6.3,68,2193,17.7,0.302,0.169,4.9,18.6,11.8,24.4,1.2,3.3,11.9,19.8,114,107,3.6,2.7,0.137,1.0,2.1,3.1,2.8,0.159873,201143,0.36456,0.38186
3,Al Jefferson,32,IND,66,14.1,2.3,1,931,18.9,0.002,0.18,9.2,24.2,16.8,11.0,1.0,1.5,6.1,26.1,109,108,1.2,1.1,0.119,-1.5,-1.5,-3.1,-0.3,0.198531,2744,0.0,0.21483
4,Al-Farouq Aminu,26,POR,61,29.1,1.9,25,1773,11.3,0.455,0.292,4.8,23.5,14.1,7.9,1.7,2.0,15.2,15.4,100,108,-0.1,2.0,0.051,-2.3,1.2,-1.1,0.4,0.172746,202329,0.47952,0.20544
5,Alex Abrines,23,OKC,68,15.5,2.1,6,1055,10.1,0.724,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,113,110,1.2,0.9,0.095,-0.3,-2.2,-2.5,-0.1,0.120083,203518,0.81657,0.26424
6,Alex Len,23,PHO,77,20.3,3.0,34,1560,15.0,0.026,0.449,10.6,25.3,17.8,4.2,1.1,5.1,15.5,17.6,108,108,1.2,1.7,0.091,-3.0,1.2,-1.8,0.1,0.1795,203458,0.0008,0.04066
7,Allen Crabbe,24,POR,79,28.5,4.1,7,2254,11.6,0.467,0.192,0.9,10.2,5.5,6.1,1.2,0.7,8.1,14.9,117,114,3.1,1.0,0.088,0.3,-1.4,-1.1,0.5,0.072645,203459,0.70146,0.81012
8,Amir Johnson,29,BOS,80,20.1,5.0,77,1608,15.0,0.178,0.27,8.2,17.0,12.6,13.0,1.6,3.2,15.7,13.6,121,107,2.9,2.1,0.149,-0.2,2.4,2.2,1.7,0.250272,101161,0.0456,0.065
9,Andre Drummond,23,DET,81,29.7,6.7,81,2409,20.9,0.008,0.39,15.1,36.3,25.3,5.9,2.6,3.1,12.5,22.4,104,99,1.4,5.3,0.133,-2.1,2.9,0.8,1.7,0.179424,203083,6e-05,0.21465
10,Andre Iguodala,33,GSW,76,26.3,6.9,0,1998,14.4,0.427,0.246,3.0,13.1,8.3,16.7,1.8,1.5,11.2,11.2,129,105,4.1,2.9,0.167,1.3,1.7,3.0,2.5,0.144606,2738,0.27454,0.4532
11,Andre Roberson,25,OKC,79,30.1,4.2,79,2376,9.6,0.397,0.24,4.6,14.2,9.4,4.6,1.9,2.7,9.1,10.1,108,107,1.1,3.1,0.085,-2.1,2.1,0.0,1.2,0.188168,203460,0.20358,0.0325
12,Andrew Harrison,22,MEM,72,20.5,1.6,18,1474,8.7,0.433,0.539,1.7,9.0,5.3,20.0,1.9,1.3,16.0,16.4,100,109,0.0,1.5,0.051,-2.4,0.0,-2.5,-0.2,0.044923,1626150,0.0854,0.59187
13,Andrew Wiggins,21,MIN,82,37.2,4.2,82,3048,16.5,0.184,0.345,3.9,8.8,6.3,10.6,1.4,0.8,9.4,29.0,107,115,3.3,0.9,0.066,0.2,-2.9,-2.7,-0.6,0.283162,203952,0.09856,3.12528
14,Anthony Davis,23,NOP,75,36.1,11.0,75,2708,27.5,0.088,0.424,6.7,27.9,17.3,11.1,1.7,5.1,9.1,32.6,112,102,5.9,5.1,0.196,1.4,2.3,3.7,3.9,0.131208,203076,0.04182,1.93536
15,Anthony Tolliver,31,SAC,65,22.7,2.3,9,1477,11.1,0.655,0.234,4.0,14.5,9.3,7.7,1.1,1.2,12.6,13.6,113,113,1.5,0.8,0.075,0.2,-0.8,-0.6,0.5,0.102808,201229,0.87954,0.06292
16,Aron Baynes,30,DET,75,15.5,3.0,2,1163,13.1,0.0,0.337,10.0,21.6,15.6,3.9,0.7,2.8,13.5,14.1,114,106,1.4,1.5,0.123,-2.9,1.1,-1.8,0.1,0.20358,203382,0.0,0.0
17,Arron Afflalo,31,SAC,61,25.9,1.4,45,1580,9.0,0.36,0.221,0.7,8.4,4.6,7.4,0.7,0.4,8.4,14.4,109,116,1.2,0.2,0.043,-1.4,-2.0,-3.5,-0.6,0.015873,201167,0.2781,0.96558
