player,MP,3PAr,FTr,TS%,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,WS/48,paint_rebounding,3catch_and_shoot,pullupshoot
Aaron Brooks,13.8,0.427,0.133,0.507,2.3,6.3,20.7,1.4,0.9,17.2,19.2,-2.1,-2.6,0.016,0.2145,0.09126,0.89775
Aaron Gordon,28.7,0.309,0.251,0.53,5.3,14.1,10.5,1.4,1.4,8.5,20.1,-0.2,-0.4,0.076,0.151018,0.1628,1.05141
Al Horford,32.3,0.302,0.169,0.553,4.9,18.6,24.4,1.2,3.3,11.9,19.8,1.0,2.1,0.137,0.159873,0.36456,0.38186
Al Jefferson,14.1,0.002,0.18,0.526,9.2,24.2,11.0,1.0,1.5,6.1,26.1,-1.5,-1.5,0.119,0.198531,0.0,0.21483
Al-Farouq Aminu,29.1,0.455,0.292,0.506,4.8,23.5,7.9,1.7,2.0,15.2,15.4,-2.3,1.2,0.051,0.172746,0.47952,0.20544
Alex Abrines,15.5,0.724,0.144,0.56,1.9,7.1,5.5,1.7,0.6,8.3,15.9,-0.3,-2.2,0.095,0.120083,0.81657,0.26424
Alex Len,20.3,0.026,0.449,0.553,10.6,25.3,4.2,1.1,5.1,15.5,17.6,-3.0,1.2,0.091,0.1795,0.0008,0.04066
Allen Crabbe,28.5,0.467,0.192,0.602,0.9,10.2,6.1,1.2,0.7,8.1,14.9,0.3,-1.4,0.088,0.072645,0.70146,0.81012
Amir Johnson,20.1,0.178,0.27,0.628,8.2,17.0,13.0,1.6,3.2,15.7,13.6,-0.2,2.4,0.149,0.250272,0.0456,0.065
Andre Drummond,29.7,0.008,0.39,0.518,15.1,36.3,5.9,2.6,3.1,12.5,22.4,-2.1,2.9,0.133,0.179424,6e-05,0.21465
Andre Iguodala,26.3,0.427,0.246,0.624,3.0,13.1,16.7,1.8,1.5,11.2,11.2,1.3,1.7,0.167,0.144606,0.27454,0.4532
Andre Roberson,30.1,0.397,0.24,0.51,4.6,14.2,4.6,1.9,2.7,9.1,10.1,-2.1,2.1,0.085,0.188168,0.20358,0.0325
Andrew Harrison,20.5,0.433,0.539,0.477,1.7,9.0,20.0,1.9,1.3,16.0,16.4,-2.4,0.0,0.051,0.044923,0.0854,0.59187
Andrew Wiggins,37.2,0.184,0.345,0.534,3.9,8.8,10.6,1.4,0.8,9.4,29.0,0.2,-2.9,0.066,0.283162,0.09856,3.12528
Anthony Davis,36.1,0.088,0.424,0.579,6.7,27.9,11.1,1.7,5.1,9.1,32.6,1.4,2.3,0.196,0.131208,0.04182,1.93536
Anthony Tolliver,22.7,0.655,0.234,0.595,4.0,14.5,7.7,1.1,1.2,12.6,13.6,0.2,-0.8,0.075,0.102808,0.87954,0.06292
Aron Baynes,15.5,0.0,0.337,0.57,10.0,21.6,3.9,0.7,2.8,13.5,14.1,-2.9,1.1,0.123,0.20358,0.0,0.0
Arron Afflalo,25.9,0.36,0.221,0.559,0.7,8.4,7.4,0.7,0.4,8.4,14.4,-1.4,-2.0,0.043,0.015873,0.2781,0.96558
Austin Rivers,27.8,0.409,0.261,0.545,1.1,7.5,15.0,1.2,0.4,12.4,20.3,-0.1,-1.5,0.059,0.060288,0.2261,1.28616
Avery Bradley,33.4,0.357,0.12,0.548,4.0,16.2,10.9,1.8,0.5,9.7,21.9,-0.2,-0.4,0.08,0.060016,0.3048,2.08184
