,player,id,3catch_and_shoot,pullupshoot,paint_rebounding
0,David West,2561,,,0.214855
1,Wayne Ellington,201961,,,0.0358
2,Pau Gasol,2200,,,0.128443
3,Mason Plumlee,203486,,,0.172584
4,Willie Reed,203186,,,0.228528
5,Matt Barnes,2440,,,0.088788
6,Lucas Nogueira,203512,,,0.208302
7,Rajon Rondo,200765,,,0.024192
8,Justin Hamilton,203120,,,0.193856
9,Derrick Williams,202682,,,0.0735
10,Randy Foye,200751,,,0.03002
11,DeMarre Carroll,201960,,,0.123888
12,LaMarcus Aldridge,200746,,,0.215118
13,Tyler Ulis,1627755,,,0.04
14,Draymond Green,203110,,,0.141708
15,Kyle Lowry,200768,,,0.10229
16,Kris Dunn,1627739,,,0.122728
17,Seth Curry,203552,,,0.025
18,Raymond Felton,101109,,,0.14245
19,John Wall,202322,,,0.129564
20,Denzel Valentine,1627756,,,0.040404
21,Solomon Hill,203524,,,0.127455
22,Chris Paul,101108,,,0.028557
23,Marcus Smart,203935,,,0.229768
24,Tim Frazier,204025,,,0.106704
25,Kevin Love,201567,,,0.109906
26,Ish Smith,202397,,,0.062624
27,Kemba Walker,202689,,,0.077562
28,JJ Redick,200755,,,0.028952
29,Harrison Barnes,203084,,,0.12423
30,Trevor Booker,202344,,,0.110213
31,Ryan Anderson,201583,,,0.274364
32,Kelly Oubre,1626162,,,0.105835
33,Aaron Brooks,201166,,,0.2145
34,DJ Augustin,201571,,,0.222
35,E'Twaun Moore,202734,,,0.216
36,Frank Kaminsky,1626163,,,0.1526
37,Sergio Rodriguez,200771,,,0.143
38,Meyers Leonard,203086,,,0.110568
39,Mike Conley,201144,,,0.061
40,Joffrey Lauvergne,203530,,,0.15326
41,Serge Ibaka,201586,,,0.148005
42,Tyler Johnson,204020,,,0.10092
43,Carmelo Anthony,2546,,,0.109836
44,Andrew Harrison,1626150,,,0.044923
45,Isaiah Thomas,202738,,,0.230622
46,Andre Iguodala,2738,,,0.144606
47,Emmanuel Mudiay,1626144,,,0.083895
48,Richard Jefferson,2210,,,0.101132
49,Spencer Hawes,201150,,,0.140154
50,Elfrid Payton,203901,,,0.11832
51,Marquese Chriss,1627737,,,0.134912
52,Michael Kidd-Gilchrist,203077,,,0.140266
53,Paul Millsap,200794,,,0.136206
54,Jeff Teague,201952,,,0.051282
55,Avery Bradley,202340,,,0.060016
56,James Johnson,201949,,,0.106128
57,Sean Kilpatrick,203930,,,0.026999
58,Thabo Sefolosha,200757,,,0.09216
59,Joe Johnson,2207,,,0.101232
60,Will Barton,203115,,,0.057915
61,Kyle Korver,2594,,,0.120512
