,player,id,3catch_and_shoot,pullupshoot,paint_rebounding
0,David West,2561,0.00112,0.07506,
1,Wayne Ellington,201961,1.03598,1.20175,
2,Pau Gasol,2200,0.15308,0.23798,
3,Mason Plumlee,203486,0.0,0.23572,
4,Willie Reed,203186,0.00014,0.028,
5,Matt Barnes,2440,0.47571,0.2422,
6,Lucas Nogueira,203512,0.0033,0.0,
7,Rajon Rondo,200765,0.11656,0.61655,
8,Justin Hamilton,203120,0.41118,0.07854,
9,Derrick Williams,202682,0.1768,0.3598,
10,Randy Foye,200751,0.27738,0.53704,
11,DeMarre Carroll,201960,0.71955,0.43576,
12,LaMarcus Aldridge,200746,0.0144,1.07868,
13,Tyler Ulis,1627755,0.01425,2.1692,
14,Draymond Green,203110,0.39795,0.0729,
15,Kyle Lowry,200768,0.2772,3.68368,
16,Kris Dunn,1627739,0.02873,0.59778,
17,Seth Curry,203552,0.3825,2.19834,
18,Raymond Felton,101109,0.06232,0.99974,
19,John Wall,202322,0.0522,3.32896,
20,Denzel Valentine,1627756,0.4896,0.63984,
21,Solomon Hill,203524,0.555,0.18841,
22,Chris Paul,101108,0.04872,5.16594,
23,Marcus Smart,203935,0.32204,0.8027,
24,Tim Frazier,204025,0.04867,0.92287,
25,Kevin Love,201567,0.9315,0.4917,
26,Ish Smith,202397,0.02236,1.72628,
27,Kemba Walker,202689,0.20216,4.1499,
28,JJ Redick,200755,0.72384,2.11432,
29,Harrison Barnes,203084,0.1224,2.45952,
30,Trevor Booker,202344,0.01617,0.41288,
31,Ryan Anderson,201583,1.29276,1.04902,
32,Kelly Oubre,1626162,0.22875,0.31008,
33,Aaron Brooks,201166,0.09126,0.89775,
34,DJ Augustin,201571,0.20659,1.20304,
35,E'Twaun Moore,202734,0.2464,1.122,
36,Frank Kaminsky,1626163,0.63954,0.266,
37,Sergio Rodriguez,200771,0.09912,1.94866,
38,Meyers Leonard,203086,0.44055,0.27084,
39,Mike Conley,201144,0.17056,3.58912,
