,player,id,rim_defense
0,David West,2561,-0.063
1,Wayne Ellington,201961,0.051
2,Pau Gasol,2200,-0.075
3,Mason Plumlee,203486,-0.099
4,Willie Reed,203186,-0.075
5,Matt Barnes,2440,0.09
6,Lucas Nogueira,203512,-0.06
7,Rajon Rondo,200765,0.115
8,Justin Hamilton,203120,-0.028
9,Derrick Williams,202682,0.051
10,Randy Foye,200751,-0.013
11,DeMarre Carroll,201960,-0.02
12,LaMarcus Aldridge,200746,-0.119
13,Tyler Ulis,1627755,0.036
14,Draymond Green,203110,-0.13
15,Kyle Lowry,200768,0.135
16,Kris Dunn,1627739,0.032
17,Seth Curry,203552,0.13
18,Raymond Felton,101109,0.11
19,John Wall,202322,0.002
20,Denzel Valentine,1627756,-0.031
21,Solomon Hill,203524,0.039
22,Chris Paul,101108,0.106
23,Marcus Smart,203935,0.006
24,Tim Frazier,204025,0.097
25,Kevin Love,201567,0.045
26,Ish Smith,202397,0.017
27,Kemba Walker,202689,0.061
28,JJ Redick,200755,0.147
29,Harrison Barnes,203084,0.125
30,Trevor Booker,202344,-0.035
31,Ryan Anderson,201583,0.043
32,Kelly Oubre,1626162,0.052
33,Aaron Brooks,201166,0.143
34,DJ Augustin,201571,0.123
35,E'Twaun Moore,202734,0.018
36,Frank Kaminsky,1626163,0.033
37,Sergio Rodriguez,200771,0.252
38,Meyers Leonard,203086,-0.05
39,Mike Conley,201144,0.108
40,Joffrey Lauvergne,203530,0.03
41,Serge Ibaka,201586,-0.029
42,Tyler Johnson,204020,-0.034
43,Carmelo Anthony,2546,0.014
44,Andrew Harrison,1626150,0.05
45,Isaiah Thomas,202738,0.127
46,Andre Iguodala,2738,0.052
47,Emmanuel Mudiay,1626144,0.186
48,Richard Jefferson,2210,0.041
49,Spencer Hawes,201150,0.031
50,Elfrid Payton,203901,0.071
51,Marquese Chriss,1627737,0.03
52,Michael Kidd-Gilchrist,203077,-0.037
53,Paul Millsap,200794,-0.01
54,Jeff Teague,201952,0.085
55,Avery Bradley,202340,0.115
56,James Johnson,201949,-0.079
57,Sean Kilpatrick,203930,0.112
58,Thabo Sefolosha,200757,0.052
59,Joe Johnson,2207,0.073
60,Will Barton,203115,0.01
