Rk,Player,Season,Age,Tm,Lg,G,MP,TS%,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%
1,Rudy Gobert\goberru01,2016-17,24,UTA,NBA,81,33.9,.682,81,2744,413,624,413,623,0,1,311,476,314,721,1035,97,49,214,148,246,1137,.662,.663,.000,.662,.653
2,Lucas Nogueira\noguelu01,2016-17,24,TOR,NBA,57,19.1,.682,6,1088,103,156,100,144,3,12,44,67,82,161,243,42,52,90,46,137,253,.660,.694,.250,.670,.657
3,DeAndre Jordan\jordade01,2016-17,28,LAC,NBA,81,31.7,.673,81,2570,412,577,412,575,0,2,205,425,297,817,1114,96,52,135,116,212,1029,.714,.717,.000,.714,.482
4,Montrezl Harrell\harremo01,2016-17,23,HOU,NBA,58,18.3,.662,14,1064,225,345,224,338,1,7,76,121,81,138,219,64,20,42,44,126,527,.652,.663,.143,.654,.628
5,Kevin Durant\duranke01,2016-17,28,GSW,NBA,62,33.4,.651,62,2070,551,1026,434,714,117,312,336,384,39,474,513,300,66,99,138,117,1555,.537,.608,.375,.594,.875
6,Salah Mejri\mejrisa01,2016-17,30,DAL,NBA,73,12.4,.650,11,905,88,137,87,134,1,3,36,61,97,211,308,14,32,61,40,152,213,.642,.649,.333,.646,.590
7,Brandon Bass\bassbr01,2016-17,31,LAC,NBA,52,11.1,.650,0,577,107,186,106,183,1,3,77,88,43,86,129,21,14,11,29,45,292,.575,.579,.333,.578,.875
8,Dewayne Dedmon\dedmode01,2016-17,27,SAS,NBA,76,17.5,.645,37,1330,161,259,161,259,0,0,65,93,129,366,495,44,37,61,61,180,387,.622,.622,,.622,.699
9,Nikola Jokic\jokicni01,2016-17,21,DEN,NBA,73,27.9,.640,59,2038,494,854,449,715,45,139,188,228,212,506,718,359,61,56,171,214,1221,.578,.628,.324,.605,.825
10,Clint Capela\capelca01,2016-17,22,HOU,NBA,65,23.9,.638,59,1551,362,563,362,563,0,0,94,177,178,348,526,64,34,80,87,179,818,.643,.643,,.643,.531
11,Kyle Korver\korveky01,2016-17,35,TOT,NBA,67,26.2,.635,22,1753,239,515,77,156,162,359,38,42,8,179,187,110,34,21,69,107,678,.464,.494,.451,.621,.905
